"","Q01.estres","Q01.incremento","Q01.sin_cambio","Q01.reduccion"
"2023-04-13",-0.148806588543673,-0.136148691592328,-0.0416527092428461,-0.0317939914534406
"2023-04-14",-0.152819657217851,-0.140221437666558,-0.0459578691810973,-0.0363587321466302
"2023-04-18",-0.15334804027193,-0.140757678180715,-0.0476333895115982,-0.0369597514224941
"2023-04-19",-0.150378316839286,-0.137743792689626,-0.0447273693790864,-0.0335817834630278
"2023-04-20",-0.151912024983854,-0.139300308247158,-0.0464355669924108,-0.0353263287343395
"2023-04-21",-0.147729785980835,-0.13505587615193,-0.0414669320938348,-0.0305691620582341
"2023-04-25",-0.140770395530845,-0.127992994243978,-0.034197531081872,-0.0226530720617512
"2023-04-26",-0.148875905685761,-0.136219039533327,-0.0426747467538494,-0.0318728375447778
"2023-04-27",-0.148470511409195,-0.135807616733856,-0.0429152156445483,-0.0314117141747898
"2023-04-28",-0.155929321551406,-0.143377345086769,-0.0503271321166016,-0.0398958785246302
"2023-05-02",-0.157804064603023,-0.145279967001214,-0.0530661242231822,-0.0420283403865606
"2023-05-03",-0.157148589748314,-0.144614744734162,-0.0533456273584059,-0.0412827581437485
"2023-05-04",-0.163622690252974,-0.151185120064188,-0.0595290027444374,-0.0486468459341155
"2023-05-05",-0.170491493177836,-0.15815606734124,-0.0678988107352999,-0.0564598954406843
"2023-05-09",-0.164872892883672,-0.152453914164056,-0.0619174060767888,-0.050068912508704
"2023-05-10",-0.156512938992595,-0.143969641365612,-0.051772172329427,-0.0405597251964293
"2023-05-11",-0.163654902535286,-0.151217811367771,-0.0597505543484432,-0.0486834864025016
"2023-05-12",-0.159946766473974,-0.147454532487548,-0.0562094180090545,-0.0444655970641337
"2023-05-16",-0.159987669458831,-0.14749604373107,-0.0556831693653709,-0.0445121229361315
"2023-05-17",-0.163279871088762,-0.150837202916844,-0.0598260897307037,-0.0482568998065168
"2023-05-18",-0.165548402153985,-0.153139468773794,-0.061956870782631,-0.0508372832756105
"2023-05-19",-0.164101330992663,-0.151670878557701,-0.0608128338376148,-0.0491912848757994
"2023-05-23",-0.166346625560812,-0.153949562373096,-0.0637831310788841,-0.0517452375528056
"2023-05-24",-0.163796559347626,-0.151361574725238,-0.0604298463390626,-0.0488446166168731
"2023-05-25",-0.159958371112854,-0.147466309696283,-0.0556643041622912,-0.0444787969796169
"2023-05-26",-0.156822430440332,-0.144283735187849,-0.0509519387146419,-0.0409117620840025
"2023-05-30",-0.156477314962395,-0.14393348757884,-0.0507297447099342,-0.0405192039710243
"2023-05-31",-0.155151044087655,-0.142587494041969,-0.0496221231868863,-0.0390106121367829
"2023-06-01",-0.153344821581751,-0.140754411626152,-0.0465233061125949,-0.0369560902626107
"2023-06-02",-0.154586781685367,-0.142014840626257,-0.0486032280022191,-0.038368781219227
"2023-06-06",-0.164711244298319,-0.152289861740624,-0.0606351318012586,-0.049885042274859
"2023-06-07",-0.168559595767786,-0.156195441139346,-0.0649528158381512,-0.0542624222752072
"2023-06-09",-0.166050186290957,-0.153648714824605,-0.0621815895155685,-0.0514080471112676
"2023-06-14",-0.176317081153387,-0.16406828626492,-0.0736957218359678,-0.0630863204168772
"2023-06-15",-0.175977353771577,-0.163723506877146,-0.0728055579859073,-0.062699891095515
"2023-06-16",-0.171054507606135,-0.158727454224635,-0.0668932068447463,-0.0571003068266753
"2023-06-20",-0.176663057150093,-0.164419407189271,-0.0739994411960186,-0.0634798573431679
"2023-06-21",-0.177708287697009,-0.165480181113726,-0.0748500643811536,-0.0646687745530757
"2023-06-22",-0.18581670489966,-0.173709176680834,-0.0851250600465895,-0.0738918467124067
"2023-06-23",-0.178199739269674,-0.165978940947098,-0.0755434324929349,-0.0652277854184786
"2023-06-27",-0.181575355400003,-0.169404755070681,-0.0787172971884894,-0.069067443686439
"2023-06-28",-0.182259336889631,-0.170098907888112,-0.0795290949333537,-0.0698454513390817
"2023-06-29",-0.176590476082352,-0.164345746785548,-0.072983229986851,-0.0633972986380039
"2023-06-30",-0.179540393235888,-0.167339531463012,-0.0763449898441015,-0.0667527375715381
"2023-07-04",-0.174815758336757,-0.162544637629918,-0.072349208459061,-0.0613786124479655
"2023-07-05",-0.17125412487492,-0.158930039954858,-0.0686115057988544,-0.0573273652559891
"2023-07-06",-0.178885121660489,-0.16667451549819,-0.0760822245464109,-0.066007386552614
"2023-07-07",-0.1789669356231,-0.166757546096989,-0.0762778281899864,-0.0661004473882782
"2023-07-11",-0.180781404396611,-0.168598997408719,-0.0787064403116772,-0.0681643491351542
"2023-07-12",-0.182840186287747,-0.170688394960964,-0.0804803973207727,-0.0705061494480514
"2023-07-13",-0.179600123076347,-0.167400149531875,-0.0764314979734103,-0.0668206784057166
"2023-07-14",-0.17495149597578,-0.162682393791434,-0.071198287086239,-0.0606956165938461
"2023-07-18",-0.168909811382654,-0.156550864728223,-0.0643968360544401,-0.0533559239289895
"2023-07-19",-0.167088337789936,-0.154702304430267,-0.0623463047405937,-0.0510358506257633
"2023-07-20",-0.163683152846727,-0.151246481782947,-0.058512903925231,-0.0463553972173806
"2023-07-21",-0.155070406653633,-0.142505657467639,-0.0488170698281821,-0.0363759420625062
"2023-07-25",-0.155588950152969,-0.143031912105349,-0.0494008222840125,-0.0365654093246538
"2023-07-26",-0.150167121919363,-0.137529457139739,-0.0432971770729306,-0.0299822388540077
"2023-07-27",-0.143953510792869,-0.131223444864134,-0.0363021790461261,-0.02319208477141
"2023-07-28",-0.141528980280626,-0.128762859729091,-0.0335727539495414,-0.0202853141920277
"2023-08-01",-0.144986790265072,-0.132272089992255,-0.037465397619361,-0.0246900558509708
"2023-08-02",-0.141148294535553,-0.128376512895871,-0.0331441954219144,-0.0200383086671283
"2023-08-03",-0.139960442267755,-0.12717099635648,-0.0318069658946352,-0.0187164823740464
"2023-08-04",-0.135727631333759,-0.122875240286988,-0.0270418617501397,-0.0130322497797928
"2023-08-08",-0.12661454631954,-0.113626636729666,-0.0167827691878831,-0.00256010926847472
"2023-08-09",-0.131686286043202,-0.11877379710147,-0.0224923008333727,-0.00977853489473701
"2023-08-10",-0.131319274463371,-0.118401327778787,-0.022079136052946,-0.00982062257859717
"2023-08-11",-0.13676534434225,-0.123928384881473,-0.0282100713949036,-0.0159120174922014
