"","Q025.estres","Q025.incremento","Q025.sin_cambio","Q025.reduccion"
"2023-10-06",-0.106264645231306,-0.0942441061754931,-0.0116466709443447,-0.00396067684973189
"2023-10-10",-0.108651708861581,-0.0966632752735033,-0.0140021294715702,-0.00662098253186616
"2023-10-11",-0.108333414188256,-0.0963406996085719,-0.0136530657555418,-0.00626625335024722
"2023-10-12",-0.109527566207785,-0.0975509127035785,-0.0150080009083429,-0.00759709738917269
"2023-10-13",-0.110141349536324,-0.0981729512795264,-0.0161539492131255,-0.00828113917833995
"2023-10-17",-0.109984560544208,-0.0980140535108106,-0.0159806000743392,-0.00836139548034176
"2023-10-18",-0.109453016326658,-0.0974753601433551,-0.0153929138401458,-0.00784391338137325
"2023-10-19",-0.109830671819482,-0.0978580950174261,-0.0158104575309096,-0.008041229921121
"2023-10-20",-0.108596122266712,-0.0966069410514638,-0.0144455141195483,-0.00603113864328064
"2023-10-24",-0.113360342202739,-0.10143523867168,-0.0197129338009748,-0.0126056946244303
"2023-10-25",-0.113746215401076,-0.101826301777551,-0.0201395631561995,-0.0131224846417524
"2023-10-26",-0.117600349871059,-0.105732273487356,-0.0244007736029581,-0.0183888323615002
"2023-10-27",-0.116520793330792,-0.104638197154976,-0.0232071936583348,-0.0175066076375393
"2023-10-31",-0.113125806731423,-0.101197548751144,-0.0194536265535787,-0.0123789445650198
"2023-11-01",-0.112354410546968,-0.100415777461895,-0.0186007550449708,-0.0113557673701089
"2023-11-02",-0.112816755460569,-0.100884340810362,-0.019111933103543,-0.0124981031655658
"2023-11-03",-0.113038726266207,-0.1011092970733,-0.0193573485977941,-0.012058412447424
"2023-11-07",-0.112344796827649,-0.100406034440219,-0.018590125918895,-0.0115489667207088
"2023-11-08",-0.112109679628399,-0.100167754967639,-0.018330175501114,-0.0126423457027913
"2023-11-09",-0.109150190676514,-0.0971684615564798,-0.0150581035645861,-0.00776429364019771
"2023-11-10",-0.111168011076983,-0.0992134211864772,-0.0172890473567978,-0.0105063967295301
"2023-11-14",-0.111562527748029,-0.0996132440178176,-0.0176020810383137,-0.0109499748113203
"2023-11-15",-0.111567962564648,-0.0996187519314949,-0.0176648655616856,-0.0109560251026258
"2023-11-16",-0.113817226537102,-0.101898267997349,-0.0198839457239404,-0.0134600106481387
"2023-11-17",-0.116286639417244,-0.104400893924074,-0.0226675894153139,-0.0162090762240373
"2023-11-21",-0.116980475493359,-0.105104061939008,-0.0236844605298142,-0.0169814869000732
"2023-11-22",-0.116438236882899,-0.104554530341469,-0.023277704937097,-0.0163778415923469
"2023-11-23",-0.117288707603435,-0.105416439701483,-0.0237947751317094,-0.0173246252589977
"2023-11-24",-0.113576708101137,-0.101654514642638,-0.01961102066415,-0.0131922543089718
"2023-11-28",-0.114660312155443,-0.102752692927208,-0.0212225473821741,-0.0143985728746321
"2023-11-29",-0.113962960058824,-0.102045961602087,-0.020410236067423,-0.0136222480006057
"2023-11-30",-0.113422490805559,-0.101498223159198,-0.0198116992426609,-0.0130205724238193
"2023-12-01",-0.113885223873534,-0.101967179882628,-0.0200691426785885,-0.0135357084540187
"2023-12-05",-0.115119785937832,-0.103218346528396,-0.0211950514748226,-0.0149100805161244
"2023-12-06",-0.114810143661894,-0.102904539633646,-0.0208425317153448,-0.0145653722948023
"2023-12-07",-0.114732733092909,-0.102826087909958,-0.0208190560106547,-0.0144791952394716
"2023-12-08",-0.115431282806603,-0.103534032959834,-0.0215866066484943,-0.0152568533566751
"2023-12-12",-0.115274607075801,-0.103375249975771,-0.0214453705740941,-0.0150824346267856
"2023-12-13",-0.11465232243069,-0.102744595742458,-0.0206065244178325,-0.0143896783404465
"2023-12-14",-0.115429693295181,-0.103532422069842,-0.0214664712749596,-0.0146385375119623
"2023-12-15",-0.116050397376133,-0.104161474480764,-0.0221531094653039,-0.0159219935150252
"2023-12-20",-0.118602935945631,-0.106748344118628,-0.0249767906975197,-0.0190241875022455
"2023-12-21",-0.122373288028731,-0.110569406587333,-0.0291476473275092,-0.0232614353628257
"2023-12-22",-0.124756776898351,-0.112984952844963,-0.0317843216049382,-0.025477637285092
"2023-12-26",-0.123300593842445,-0.111509184455209,-0.030173455929972,-0.0243109924397594
"2023-12-27",-0.121148090818538,-0.109327730750847,-0.0277923039021346,-0.0221682501025627
"2023-12-28",-0.121222796217214,-0.109403440920295,-0.0278749448599271,-0.0218605648746243
"2023-12-29",-0.119989479753167,-0.108153536627821,-0.0265106197153334,-0.020497160628837
"2024-01-02",-0.119295863908104,-0.107450591805997,-0.0257433247300678,-0.0188909144191821
"2024-01-03",-0.120837051395118,-0.109012507917296,-0.0274482244069656,-0.0211763650324557
"2024-01-04",-0.121069352700971,-0.109247933623348,-0.0277052018510663,-0.0211971033146034
"2024-01-05",-0.121146202455916,-0.109325816990173,-0.0277902149487448,-0.0210835287849335
"2024-01-09",-0.121914869990134,-0.110104822929454,-0.0286405339668871,-0.0222737447891239
"2024-01-10",-0.123215662095832,-0.111423110395749,-0.030079502333424,-0.023638242527463
"2024-01-11",-0.125049523044588,-0.113281636360877,-0.032108164624907,-0.0261558200541798
"2024-01-12",-0.123980708537253,-0.11219844653935,-0.0309258156092461,-0.0248618279603605
"2024-01-16",-0.125588685574208,-0.113828050504982,-0.032704599536486,-0.0266758629389976
"2024-01-17",-0.125741604051437,-0.113983025701259,-0.0328737617342176,-0.0263088446371417
"2024-01-18",-0.124369022182525,-0.112591982915617,-0.0313553777578737,-0.0246072542076177
"2024-01-19",-0.124445389789172,-0.112669377649359,-0.0314398574911932,-0.0243541740572314
"2024-01-23",-0.122684817492657,-0.110885126052324,-0.0294922689175925,-0.0232600275133068
"2024-01-24",-0.122148551882009,-0.110341647790097,-0.0288990386493547,-0.0228785838987364
"2024-01-26",-0.123604162688814,-0.111816836234131,-0.0305092712882273,-0.0238004476176713
"2024-01-30",-0.121833696873203,-0.110022558052398,-0.0285507382593596,-0.0219660355690547
"2024-01-31",-0.12328875313334,-0.111497184491235,-0.0301603574450066,-0.0234035160801688
"2024-02-01",-0.123135500905809,-0.11134187105579,-0.0299908260444449,-0.0233214567992984
"2024-02-02",-0.119831507437438,-0.107993439620056,-0.0263358668365858,-0.0193388874107937
"2024-02-07",-0.119755809898464,-0.107916723966246,-0.0262521283486817,-0.0195201296046748
"2024-02-08",-0.125108303697397,-0.113341207600215,-0.0321731892353617,-0.0255339825532255
"2024-02-09",-0.124798794461314,-0.113027535534677,-0.0318308024712334,-0.0250595714657205
"2024-02-14",-0.125631056907765,-0.113870991723423,-0.0328437536370174,-0.0255589149340224
"2024-02-15",-0.125783878535501,-0.114025868767604,-0.0328485090525387,-0.0257292271047934
"2024-02-16",-0.126695804267329,-0.114950059694959,-0.0338544531802466,-0.0267455233795445
"2024-02-20",-0.126175309059827,-0.114422563944246,-0.0334550819379182,-0.026165457128591
