"","Q05.estres","Q05.incremento","Q05.sin_cambio","Q05.reduccion"
"2023-04-13",-0.112643356936836,-0.102578522112531,-0.0322794018521222,-0.0246567016932018
"2023-04-14",-0.116826922151478,-0.106809539378376,-0.0367329147033169,-0.0292550921228318
"2023-04-18",-0.117377753733124,-0.107366618762333,-0.0378149034475616,-0.0298605419110923
"2023-04-19",-0.114281860625223,-0.104235610514418,-0.0341242290985968,-0.0264576727054919
"2023-04-20",-0.115880728863964,-0.105852613901922,-0.0359793981456541,-0.0282150781790657
"2023-04-21",-0.111520806063508,-0.101443238715916,-0.0314587773231576,-0.0234228432667527
"2023-04-25",-0.104265743624875,-0.0941058857961605,-0.0228702883495642,-0.015448398511495
"2023-04-26",-0.112715619040469,-0.102651603848431,-0.0327180805729832,-0.0247361290114632
"2023-04-27",-0.112293001454936,-0.102224192726697,-0.0317832516747198,-0.024271606394747
"2023-04-28",-0.120068701595417,-0.110088088676799,-0.0402632397921384,-0.0328183131568466
"2023-05-02",-0.122023093721225,-0.112064648477895,-0.0426695064638184,-0.0349664948119582
"2023-05-03",-0.121339770802064,-0.111373574974606,-0.041884407508029,-0.0342154163870733
"2023-05-04",-0.128088925592677,-0.118199281993348,-0.049679046032112,-0.0416337897612064
"2023-05-05",-0.135249551865429,-0.125441127605852,-0.0575231054451276,-0.049504434446639
"2023-05-09",-0.12939224349269,-0.11951738276504,-0.0509747747415786,-0.04306633933333
"2023-05-10",-0.120677114215249,-0.110703402211355,-0.041004530799535,-0.03348705348352
"2023-05-11",-0.128122506424381,-0.118233243715336,-0.049181969825648,-0.0416707003308286
"2023-05-12",-0.124256828984799,-0.11432371986381,-0.0448630577810453,-0.0374217181278028
"2023-05-16",-0.1242994697464,-0.11436684427787,-0.0453049586322307,-0.0374685869729148
"2023-05-17",-0.127731541643696,-0.117837844420107,-0.0487437071508897,-0.0412409690816227
"2023-05-18",-0.130096451996182,-0.120229578747213,-0.0516929773651785,-0.0438403742716612
"2023-05-19",-0.128587901541371,-0.118703917572298,-0.049872629787695,-0.0421822421240517
"2023-05-23",-0.130928588186574,-0.121071153434936,-0.0520597139724459,-0.0447550216830737
"2023-05-24",-0.128270181572912,-0.118382593867925,-0.0493541751869454,-0.0418330183430643
"2023-05-25",-0.124268926650573,-0.11433595474725,-0.0449302474881519,-0.037435015348633
"2023-05-26",-0.120999754508775,-0.111029702049538,-0.0415616446344512,-0.033841685468883
"2023-05-30",-0.120639976686426,-0.110665843450442,-0.0409501747785967,-0.0334462335492403
"2023-05-31",-0.119257358758043,-0.109267543190515,-0.0390533171702542,-0.0319265208822879
"2023-06-01",-0.117374398295835,-0.107363225266027,-0.0369697269977711,-0.029856853762367
"2023-06-02",-0.118669123482297,-0.10867263586139,-0.038387733407415,-0.0312799586026093
"2023-06-06",-0.129223727214105,-0.119346955092065,-0.0505509314987441,-0.0428811136698288
"2023-06-07",-0.133235577159503,-0.123404309409753,-0.0548908661052129,-0.0472907622464691
